names,lat,lon,geometry
Hiranandani Queensgate bangalore,12.8740261,77.6100293,POINT (77.61002929999999 12.8740261)
Arge Urban Bloom bangalore,13.0259697,77.5329519,POINT (77.5329519 13.0259697)
Prestige Bagamane Temple Bells bangalore,12.9307632,77.5217595,POINT (77.5217595 12.9307632)
Brigade Exotica - Azure Tower bangalore,13.0443079,77.74501289999999,POINT (77.74501289999999 13.0443079)
Celebrity Serenity bangalore,12.795757,77.650302,POINT (77.650302 12.795757)
Prestige Tranquility bangalore,13.0655118,77.743832,POINT (77.743832 13.0655118)
Smart Homz Blue Bells bangalore,12.7851117,77.7770002,POINT (77.7770002 12.7851117)
Brigade Caladium bangalore,13.0559515,77.596732,POINT (77.596732 13.0559515)
S2 Homes The Water Grove bangalore,12.8368015,77.6871048,POINT (77.6871048 12.8368015)
Assetz 63 Degree East bangalore,12.8853283,77.7047401,POINT (77.7047401 12.8853283)
CoEvolve Northern Star bangalore,13.081174,77.625001,POINT (77.625001 13.081174)
Purva Sunflower bangalore,12.9758193,77.5570922,POINT (77.5570922 12.9758193)
Upkar Oakland bangalore,12.7813035,77.7622283,POINT (77.7622283 12.7813035)
Sashank Advaith bangalore,12.8917332,77.6816863,POINT (77.6816863 12.8917332)
SMD Altezz bangalore,12.99911,77.7526073,POINT (77.75260729999999 12.99911)
Chowriappa Constellation bangalore,13.0547139,77.6465134,POINT (77.6465134 13.0547139)
The Phoenix Mills Kessaku bangalore,13.0107038,77.5536372,POINT (77.5536372 13.0107038)
Orchid Greens bangalore,13.0879221,77.6554441,POINT (77.6554441 13.0879221)
Embassy Boulevard bangalore,13.1479839,77.6389992,POINT (77.6389992 13.1479839)
Century Breeze bangalore,13.0958355,77.6011008,POINT (77.6011008 13.0958355)
The Phoenix Mills Kessaku bangalore,13.0107038,77.5536372,POINT (77.5536372 13.0107038)
Prestige Royale Gardens bangalore,13.1395085,77.57063950000001,POINT (77.57063950000001 13.1395085)
